sys/creation_time,sys/id,sys/name,final/train_loss,final/val_loss,training/hyperparams/batch_size,training/hyperparams/ca_dist_alpha,training/hyperparams/d_model,training/hyperparams/gcc_lmi_alpha,training/hyperparams/lr,training/hyperparams/n_heads,training/hyperparams/n_layers,training/hyperparams/rmsf_alpha,training/hyperparams/shp_alpha
2025-05-28 21:41:05.038,RSHPHP-52,architecture_sweep_20250528_135738_job_022_sweep,0.8064907789230347,1.1301754713058472,16,1.0,512,1.0,5.623413251903491e-06,8,10,1.0,0.01
2025-05-28 19:30:46.109,RSHPHP-44,architecture_sweep_20250528_135738_job_014_sweep,0.9528164863586426,1.130807876586914,8,1.0,256,1.0,5.623413251903491e-06,8,8,1.0,0.01
2025-05-29 01:11:04.644,RSHPHP-73,architecture_sweep_20250528_135738_job_043_sweep,0.9073799252510071,1.1382887363433838,32,1.0,512,1.0,5.623413251903491e-06,8,6,1.0,0.01
2025-05-28 19:43:21.431,RSHPHP-46,architecture_sweep_20250528_135738_job_016_sweep,0.9768447875976562,1.1437560319900513,8,1.0,768,1.0,1e-06,6,8,1.0,0.01
2025-05-28 20:05:41.338,RSHPHP-48,architecture_sweep_20250528_135738_job_018_sweep,0.9144341349601746,1.148057222366333,32,1.0,512,1.0,5.623413251903491e-06,16,10,1.0,0.01
2025-05-28 23:54:09.210,RSHPHP-64,architecture_sweep_20250528_135738_job_034_sweep,0.9631596207618713,1.1564122438430786,8,1.0,768,1.0,1e-06,8,12,1.0,0.01
2025-05-28 18:00:36.743,RSHPHP-37,architecture_sweep_20250528_135738_job_006_sweep,1.0707628726959229,1.1647076606750488,32,1.0,256,1.0,5.623413251903491e-06,4,8,1.0,0.01
2025-05-28 18:00:48.304,RSHPHP-39,architecture_sweep_20250528_135738_job_003_sweep,1.0231362581253052,1.1800189018249512,16,1.0,1024,1.0,1e-06,8,6,1.0,0.01
2025-05-28 18:00:48.296,RSHPHP-38,architecture_sweep_20250528_135738_job_002_sweep,1.027892827987671,1.1911911964416504,16,1.0,1024,1.0,1e-06,16,10,1.0,0.01
2025-05-28 22:24:11.676,RSHPHP-55,architecture_sweep_20250528_135738_job_025_sweep,1.1593928337097168,1.221492052078247,32,1.0,1024,1.0,1e-06,8,6,1.0,0.01
2025-05-28 19:47:53.844,RSHPHP-47,architecture_sweep_20250528_135738_job_017_sweep,1.3364580869674683,1.2859742641448975,8,1.0,256,1.0,1e-06,4,8,1.0,0.01
2025-05-29 02:12:16.865,RSHPHP-77,architecture_sweep_20250528_135738_job_047_sweep,1.3440862894058228,1.3039811849594116,8,1.0,256,1.0,1e-06,8,12,1.0,0.01
2025-05-28 18:00:36.675,RSHPHP-34,architecture_sweep_20250528_135738_job_005_sweep,1.3817120790481567,1.329954981803894,32,1.0,512,1.0,1e-06,8,6,1.0,0.01
2025-05-28 19:10:44.491,RSHPHP-42,architecture_sweep_20250528_135738_job_012_sweep,1.394311785697937,1.3385505676269531,32,1.0,512,1.0,1e-06,16,8,1.0,0.01
2025-05-29 02:20:17.789,RSHPHP-79,architecture_sweep_20250528_135738_job_049_sweep,1.4471588134765625,1.35433030128479,16,1.0,256,1.0,1e-06,4,8,1.0,0.01
2025-05-28 18:00:36.683,RSHPHP-35,architecture_sweep_20250528_135738_job_004_sweep,1.1539745330810547,1.4221035242080688,16,1.0,1024,1.0,0.001,16,10,1.0,0.01
